"cardId","variantIds","canonicalIds","language","setId","setCode","collectorNumber","distinctions","reason"
"0dff7f31-6e73-46a1-a348-2622b76eaf42","00e5c6cd-fd61-411b-92a3-13862472e20f|10f845de-be9c-44a2-af65-7a9084f700c7","pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:028:normal|pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:028:reverse_holo","zh-tw","3c0c1ae1-7d62-4384-97f1-734ff9460162","SV2a","028","normal|reverse_holo","No face returned by set API. Exact-printing manifest could not be read; verify existing approved assets before manual sourcing."
"8138d55d-02c5-457d-a17f-c0e0f60caee4","272fea17-0027-488b-a094-690345e82f7e|280892da-3eb9-4bec-9f02-01861641b975","pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:029:normal|pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:029:reverse_holo","zh-tw","3c0c1ae1-7d62-4384-97f1-734ff9460162","SV2a","029","normal|reverse_holo","No face returned by set API. Exact-printing manifest could not be read; verify existing approved assets before manual sourcing."
"1e558d3d-0e34-4f03-95cb-cc4031687ce6","2201632e-779b-4fbd-a8cd-f33d2fe28686|da0a39e6-1f77-4a5d-9122-cba2a6ad8121","pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:032:reverse_holo|pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:032:normal","zh-tw","3c0c1ae1-7d62-4384-97f1-734ff9460162","SV2a","032","reverse_holo|normal","No face returned by set API. Exact-printing manifest could not be read; verify existing approved assets before manual sourcing."
"4bcc0ad3-48b4-426e-93c3-5c8befcad204","0ef42353-5897-49d1-ae99-14e97bc2de87|8f1f51aa-503f-4591-8633-ea58fcbb13b9","pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:035:normal|pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:035:reverse_holo","zh-tw","3c0c1ae1-7d62-4384-97f1-734ff9460162","SV2a","035","normal|reverse_holo","No face returned by set API. Exact-printing manifest could not be read; verify existing approved assets before manual sourcing."
"162fd2ba-f247-485f-8f14-71c49bb8a0d6","0bbb1403-fb84-47fa-bc1a-dc149b0c2f54|4b66ce48-f4d6-4d5e-be3d-d1efe733c0dd","pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:037:reverse_holo|pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:037:normal","zh-tw","3c0c1ae1-7d62-4384-97f1-734ff9460162","SV2a","037","reverse_holo|normal","No face returned by set API. Exact-printing manifest could not be read; verify existing approved assets before manual sourcing."
"8e733e84-a13f-4bd6-ae88-9d0cedefa93d","3307062b-4212-4b86-9c21-ee25d7e5eabd","pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:038:holo","zh-tw","3c0c1ae1-7d62-4384-97f1-734ff9460162","SV2a","038","holo","No face returned by set API. Exact-printing manifest could not be read; verify existing approved assets before manual sourcing."
"81348774-1934-4875-8ace-adaf3caa6264","0bb907d6-7dda-4b2d-b192-43e16eefc705|f386dae0-ee12-4e3f-994e-3a18e14e29d5","pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:042:normal|pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:042:reverse_holo","zh-tw","3c0c1ae1-7d62-4384-97f1-734ff9460162","SV2a","042","normal|reverse_holo","No face returned by set API. Exact-printing manifest could not be read; verify existing approved assets before manual sourcing."
"ad316080-3575-40fb-8ea0-f5cb0d803513","1baf0bf1-8e66-42df-af93-138e3c3b6a70|77bf2edb-b8d9-4b6e-8d32-9274a8a870bc","pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:044:reverse_holo|pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:044:normal","zh-tw","3c0c1ae1-7d62-4384-97f1-734ff9460162","SV2a","044","reverse_holo|normal","No face returned by set API. Exact-printing manifest could not be read; verify existing approved assets before manual sourcing."
"3940c4f9-93ea-477b-b93c-20815e369aaa","33039a23-4a01-464f-8a30-237136fd9136|5ee711b8-996d-46c3-96a8-058db933148e","pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:045:reverse_holo|pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:045:holo","zh-tw","3c0c1ae1-7d62-4384-97f1-734ff9460162","SV2a","045","reverse_holo|holo","No face returned by set API. Exact-printing manifest could not be read; verify existing approved assets before manual sourcing."
"4517a96f-8e90-427c-bdb4-20ef79cc53c5","131575c5-b8a4-4680-b4d2-a34dcf5f4f14|4c50315b-d6a6-4e60-ab8b-89f0ef4f9a1a","pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:049:normal|pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:049:reverse_holo","zh-tw","3c0c1ae1-7d62-4384-97f1-734ff9460162","SV2a","049","normal|reverse_holo","No face returned by set API. Exact-printing manifest could not be read; verify existing approved assets before manual sourcing."
"e91571e3-0391-4afc-9d69-d5107c099d93","08dfdfe7-52a5-433c-a9c8-a393aa4dc4d8|0b105298-35a1-4c62-843c-8d69a73698bf","pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:050:normal|pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:050:reverse_holo","zh-tw","3c0c1ae1-7d62-4384-97f1-734ff9460162","SV2a","050","normal|reverse_holo","No face returned by set API. Exact-printing manifest could not be read; verify existing approved assets before manual sourcing."
"9d9bb077-a77b-4ae8-b184-4fa303fc8d90","2d15c650-0cab-496d-9a43-85dd2e36462b|8ec87741-1a34-41d5-b366-9b8913c35028","pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:054:reverse_holo|pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:054:normal","zh-tw","3c0c1ae1-7d62-4384-97f1-734ff9460162","SV2a","054","reverse_holo|normal","No face returned by set API. Exact-printing manifest could not be read; verify existing approved assets before manual sourcing."
"c575a7cb-057a-424e-9217-772bff1943a6","172f6ea6-7f49-4995-a6b6-e6cf53b4cb64|c762def4-2390-4e1b-8c78-43ab72a749d1","pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:058:normal|pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:058:reverse_holo","zh-tw","3c0c1ae1-7d62-4384-97f1-734ff9460162","SV2a","058","normal|reverse_holo","No face returned by set API. Exact-printing manifest could not be read; verify existing approved assets before manual sourcing."
"90de2934-f11f-480d-a8c3-dea21cf50a96","12cf9dc1-4cb0-4385-b784-85962fe2c5ce|83e302fe-d4cd-4ddd-bf51-4bb55809bb97","pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:060:reverse_holo|pokemon:zh-tw:3c0c1ae1-7d62-4384-97f1-734ff9460162:060:normal","zh-tw","3c0c1ae1-7d62-4384-97f1-734ff9460162","SV2a","060","reverse_holo|normal","No face returned by set API. Exact-printing manifest could not be read; verify existing approved assets before manual sourcing."
