"migration_version","migration_name","production_history","classification","compared_production_objects","fingerprint_evidence","data_compatibility_notes","rehearsal_result","approved_action","reviewer","evidence_timestamp"
"20260513170000","card_fingerprint_regions","untracked","partially_present","public.card_fingerprints","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260513213000","card_clip_embeddings","untracked","partially_present","public.card_clip_embeddings","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260516195500","seller_inventory_sales","untracked","partially_present","public.seller_inventory_items; public.seller_sale_transaction_items; public.seller_sale_transactions","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260518120000","local_postcode_distance","untracked","partially_present","public.local_featured_events; public.local_meetup_attendees; public.local_meetups; public.local_stores","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260518124500","market_price_snapshots_read_policy","untracked","partially_present","public.market_price_snapshots","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260518133000","trade_listing_metadata","untracked","partially_present","public.user_card_flags","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260518142000","seller_inventory_products","untracked","partially_present","public.seller_inventory_items; public.seller_sale_transaction_items","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260518145500","market_products","untracked","partially_present","public.market_product_price_snapshots; public.market_products","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260518150000","seed_market_products","untracked","partially_present","functions, indexes, policies, grants, or seed rows named by the migration","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application. Contains DML; the schema-only rehearsal does not prove live-row effects.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260519102000","seed_market_product_expansion","untracked","partially_present","functions, indexes, policies, grants, or seed rows named by the migration","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application. Contains DML; the schema-only rehearsal does not prove live-row effects.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260519124500","market_product_tcgcsv_prices","untracked","partially_present","public.market_product_price_snapshots","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
