code	name
csv10c	补充包 共逐荣光
csvh5ac	嗨皮组合 快龙&超梦&喷火驼&来悲粗茶 改造包
csvh5c	嗨皮组合 快龙&超梦&喷火驼&来悲粗茶
csvh5ec	嗨皮组合 快龙&超梦&喷火驼&来悲粗茶 嗨皮包
csvh5pc	嗨皮组合 快龙&超梦&喷火驼&来悲粗茶 奖赏包
csvm2ac	大师战略卡组构筑套装 猛雷鼓ex
csvm2bc	大师战略卡组构筑套装 多龙巴鲁托ex
csvm2cc	大师战略卡组构筑套装 赛富豪ex
csv9.5c	太晶盛聚
csv9c	星彩晶璃
csvnc	北上乡专题包（5张装）
cbb5c	宝石包 第五弹
csvh4ac	嗨皮组合 狙射树枭&美录梅塔&故勒顿&密勒顿 改造包
csvh4c	嗨皮卡组 狙射树枭&美录梅塔&故勒顿&密勒顿
csvh4ec	嗨皮组合 狙射树枭&美录梅塔&故勒顿&密勒顿 嗨皮包
csvh4pc	嗨皮组合 狙射树枭&美录梅塔&故勒顿&密勒顿 奖赏包
csv8c	璀璨诡幻
cbb4c	宝石包 第四弹
csv7c	利刃猛醒
csvm1ac	大师战略卡组构筑套装 喷火龙ex
csvm1bc	大师战略卡组构筑套装 沙奈朵ex
csvm1cc	大师战略卡组构筑套装 密勒顿ex
csvsc	对战学院
csv6c	真实玄虚
csvl2c	游历专题包
151c	收集啦151 旅
cbb3c	宝石包 Vol.3
csv5c	黑晶炽诚
csvh3ac	嗨皮组合 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠 改造包
csvh3c	嗨皮卡组 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠
csvh3pc	嗨皮组合 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠 奖赏包
csv4c	嘉奖回合
csve2c	对战派对 耀梦
csve2pc	对战派对 耀梦 奖赏包
csvl1c	启程专题包
cbb2c	宝石包 Vol.2
csv3c	无畏太晶
csvh2ac	嗨皮组合 路卡利欧&甲贺忍蛙&藏玛然特&獒教父 改造包
csvh2c	嗨皮卡组 路卡利欧&甲贺忍蛙&藏玛然特&獒教父
csvh2pc	嗨皮组合 路卡利欧&甲贺忍蛙&藏玛然特&獒教父 奖赏包
csv2c	奇迹启程
csve1c	对战派对 共梦
csve1pc	对战派对 共梦 奖赏包
cbb1c	宝石包 Vol. 1
csv1c	亘古开来
csvh1ac	嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵 改造包
csvh1c	嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵
csvh1pc	嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵 奖赏包
promo-30th-p	特典卡·30周年
promo-sv-p	特典卡·朱&紫
csxc	骑拉帝纳VSTAR卡组构筑进阶礼盒
cs0lc	皮在伊起 流沙卡牌展示挂件礼盒
csyc	精灵球/等级球礼盒：宝可梦艺术插画庆典 聚
cs6.5c	强化包 胜象星引
cszc	收藏周边礼盒 百变宝盒
csuc	宝可梦展示套礼盒
cs6.1c	专题包 辉耀能量
cs6ac	碧海暗影 啸
cs6bc	碧海暗影 逐
cs5.5c	强化包 暗影夺辉
cs5.1c	专题包 辉耀能量 第二弹
csoc	汇流卡组构筑进阶礼盒
csjc	精灵球/高级球礼盒：宝可梦艺术插画庆典 景
cs5ac	勇魅群星 魅
cs5bc	勇魅群星 勇
cs5dc	勇魅群星 V起始卡组
csmc	宝可梦卡牌展示套礼盒
csnc	勇魅群星 卡组构筑礼盒
cs4dac	起始卡组100
csic	训练家收藏礼盒
cs4.5c	终末炎舞
cshc	伊布进阶礼盒
cs4.1c	专题包 辉耀能量 第一弹
cs4ac	九彩汇聚 朋
cs4bc	九彩汇聚 源
csfc	龙之再临系列礼盒
csgc	宝可梦卡牌展示套礼盒
csec	四方联结系列礼盒
cs3.5c	怒炎灼天
csmpjc	改造包 对战派对组合 草
csmpkc	改造包 对战派对组合 火
csmplc	改造包 对战派对组合 水
csmpmc	改造包 对战派对组合 雷
csmpnc	改造包 对战派对组合 超
csmpoc	改造包 对战派对组合 斗
csmppc	改造包 对战派对组合 恶
csmpqc	改造包 对战派对组合 钢
csdc	精灵球礼盒/超级球礼盒：皮卡丘传奇庆典
cs2.1c	专题包 喵喵小妙招
cs2dac	宝可梦卡牌 家庭组合
cs3ac	洪荒演武 茂
cs3bc	洪荒演武 激
cs3dc	起始卡组 洪荒演武V
csbc	卡组构筑礼盒 洪荒演武 茂
cscc	卡组构筑礼盒 洪荒演武 激
cs2.5c	璀璨反击
csm2.1c	辉金能量礼盒&辉金能量进阶礼盒
cs2ac	浓墨重彩 黎
cs2bc	浓墨重彩 靛
cs1.5c	极巨攻防
cs1ac	极巨争锋 雷
cs1bc	极巨争锋 焰
cs1dc	起始卡组 极巨争锋V
csac	极巨争锋 卡组构筑礼盒
promo-s-p	特典卡·剑&盾
csmpac	对战派对组合 草
csmpbc	对战派对组合 火
csmpcc	对战派对组合 水
csmpdc	对战派对组合 雷
csmpec	对战派对组合 超
csmpfc	对战派对组合 斗
csmpgc	对战派对组合 恶
csmphc	对战派对组合 钢
csmpic	对战派对组合 奖赏包
csm2.5c	炫奇争胜
csmac	阿尔宙斯&帝牙卢卡&帕路奇亚GX 卡组构筑进阶礼盒
csmjc	精灵球礼盒：闪耀宝可梦
csm2ac	交相辉映 沐
csm2bc	交相辉映 魁
csm2cc	交相辉映 唤
csm2dc	起始卡组 交相辉映GX
csmyc	伊布GX套装礼盒
csm1.5c	强化包 对战精英
csmlc	莉莉艾的声援专属礼盒
csm1ac	横空出世 赫
csm1bc	横空出世 苍
csm1cc	横空出世 泽
csm1dc	起始卡组 横空出世GX
promo-sm-p	特典卡·太阳&月亮
