"cardId","variantId","canonicalId","language","setId","setCode","collectorNumber","variant","imageVariantId","assetId","reason"
"6df76a61-f6b0-4e96-a838-3fb593f53db7","01b16cb3-d4de-4e8e-993b-cce2a41a225e","pokemon:en:97e3aeb6-2645-4c3a-9fd4-10d95a181b6e:3:holo","en","97e3aeb6-2645-4c3a-9fd4-10d95a181b6e","base1","3","holo","8eb0a016-f62d-415d-ba60-781804e4b44d","0870f38d-b8ac-463d-873a-82a7843a79b8","Existing alias crosses an edition/special distinction; withheld pending face/marking review, not queued as a new-image need."
"7377315f-51f6-4e90-ac1b-4312509cfe0a","7d564f8e-c389-410d-aa51-5b809054ad3c","pokemon:en:97e3aeb6-2645-4c3a-9fd4-10d95a181b6e:4:holo","en","97e3aeb6-2645-4c3a-9fd4-10d95a181b6e","base1","4","holo","0d0344ab-10fe-4c5d-9b18-8fe3ad4948d3","a9a8a0f9-9af9-4dad-b28f-c6c313486079","Existing alias crosses an edition/special distinction; withheld pending face/marking review, not queued as a new-image need."
"3fb01ac9-63fe-41a3-a713-a35169c96cb4","1fa90549-31b3-4b29-9030-4cc35f588e96","pokemon:en:97e3aeb6-2645-4c3a-9fd4-10d95a181b6e:5:holo","en","97e3aeb6-2645-4c3a-9fd4-10d95a181b6e","base1","5","holo","084238f0-c30d-4efd-bc43-7d7842716848","4c7b4ef2-da97-4a3a-a15f-4880aaf4e1ac","Existing alias crosses an edition/special distinction; withheld pending face/marking review, not queued as a new-image need."
"1e7122db-b71e-4524-9963-80677b7a01f8","f525dabd-5ce5-4011-9f3f-3e9ebc9a45ac","pokemon:en:97e3aeb6-2645-4c3a-9fd4-10d95a181b6e:7:holo","en","97e3aeb6-2645-4c3a-9fd4-10d95a181b6e","base1","7","holo","0fec1d05-e4cc-481c-9047-5453a50fa371","602956e3-fcfe-499c-a830-76bafc1af1e8","Existing alias crosses an edition/special distinction; withheld pending face/marking review, not queued as a new-image need."
"52199c84-1cf4-4f3e-9b82-aac72f1676b8","19bb5a3d-e74e-4fe8-ac3b-394e75aea387","pokemon:en:97e3aeb6-2645-4c3a-9fd4-10d95a181b6e:8:holo","en","97e3aeb6-2645-4c3a-9fd4-10d95a181b6e","base1","8","holo","2c846481-5b6f-4799-9d64-03831e7a0bfc","6aebd30a-2893-45cf-9b8e-3fcc3371be75","Existing alias crosses an edition/special distinction; withheld pending face/marking review, not queued as a new-image need."
"5fd805a5-5841-4094-a5cc-9637a1b341bd","613fd41c-ef42-4bf0-806d-1778119ecd2b","pokemon:en:97e3aeb6-2645-4c3a-9fd4-10d95a181b6e:10:first_edition","en","97e3aeb6-2645-4c3a-9fd4-10d95a181b6e","base1","10","first_edition","86480ddd-a187-4fb2-90cd-aef268442317","1bfa8b95-ee5f-4dae-976d-6c8593acaaa2","Existing alias crosses an edition/special distinction; withheld pending face/marking review, not queued as a new-image need."
"3b250edd-3bdb-4c80-a3ce-af2ce8a6edc2","493bc390-8e30-4dc2-95f6-5533f28693e4","pokemon:en:97e3aeb6-2645-4c3a-9fd4-10d95a181b6e:12:holo","en","97e3aeb6-2645-4c3a-9fd4-10d95a181b6e","base1","12","holo","34a0b7d3-8211-48db-a87f-687cbb442620","315f84d8-e49f-48fc-9321-891256e0365c","Existing alias crosses an edition/special distinction; withheld pending face/marking review, not queued as a new-image need."
"b9745483-b299-4b15-b841-effc1dac18ba","7b4751ec-58dd-4e5e-90cc-f6b75d8af5f0","pokemon:en:97e3aeb6-2645-4c3a-9fd4-10d95a181b6e:14:holo","en","97e3aeb6-2645-4c3a-9fd4-10d95a181b6e","base1","14","holo","5631920d-2521-4816-978a-8cf5f95b2458","6971f016-930c-4cb0-b377-07668a31af3e","Existing alias crosses an edition/special distinction; withheld pending face/marking review, not queued as a new-image need."
"9996edde-d142-4270-a561-30dfc692c542","bb1918dd-c09f-42db-a973-ad875bf3b113","pokemon:en:97e3aeb6-2645-4c3a-9fd4-10d95a181b6e:15:holo","en","97e3aeb6-2645-4c3a-9fd4-10d95a181b6e","base1","15","holo","405b9499-5695-4162-a77e-03921fe44bae","636920d7-4902-4148-b8d6-938aee27cb7e","Existing alias crosses an edition/special distinction; withheld pending face/marking review, not queued as a new-image need."
"c00d78af-7fd4-4d26-8656-2e49c8cfc100","285e42e4-df0a-46df-b3da-0aaa36869a81","pokemon:en:97e3aeb6-2645-4c3a-9fd4-10d95a181b6e:16:first_edition","en","97e3aeb6-2645-4c3a-9fd4-10d95a181b6e","base1","16","first_edition","e1c92c6f-a5cc-46eb-9594-dfb045d59afa","d7fea432-aabd-4846-b056-a8090c3adb23","Existing alias crosses an edition/special distinction; withheld pending face/marking review, not queued as a new-image need."
